"HymnalID","HymnalName","AuthorName","PublisherName","City","State","PublicationYear","Notes"
"BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",,"Ticknor and Fields","Boston"," MA",1866,"Unitarians and Universalists"
"CBE","Chorale Book for England, The","Catherine Winkworth","Christian Classics Ethereal Library","Grand Rapids"," MI",1863,"Anglican"
"CEL","Celebration Hymnal","Tom Fettke","Word Music/Integrity Music",,,1997,
"CH1962","The Children's Hymnbook","Wilma Vander Baan","National Union of Christian Schools",,,1962,
"CH4","Church Hymnary,  Fourth Edition","John Bell; Stephen Benner","Canterbury Press","Norwich","United Kingdom",2005,"Church of Scotland"
"CPACC","Common Praise",,"Anglican Book Centre","Toronto"," Canada",1998,"Anglican Church of Canada"
"EH1916","The Hymnal: as authorized and approved by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1916","Peter Irvine","Church Pension Fund","New York"," NY",1916,"(Protestant) Episcopal Church"
"EH1982","Hymnal 1982: according to the use of the Episcopal Church",,"Church Hymnal Corp.","New York"," NY",1985,"Episcopal"
"ELH","Evangelical Lutheran Hymnary",,"MorningStar Music Publishers Inc.","St. Louis","  MO",1996,"Evangelical Lutheran Synod"
"FHOP","Favorite Hymns of Praise",,"Hope Publishing Company","Wheaton IL",1967,,"Has Music"
"H4Y1966","Hymns for Youth",,"William B. Eerdmans Pub. Co.","Grand Rapids"," MI",1966,
"HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.","Rev. Louis F. Benson; William W. Gilchrist","Presbyterian Board of Publication and Sabbath School Work","Philadelphia"," PA",1895,"Presbyterian Church (U.S.A.); Northern Presbyterian"
"HFLC1974","Hymns for the Living Church","Don Hustad","Hope Publishing Company","Carol Stream"," IL",1974,
"HHD1945","Hymns and Hymnwriters of Denmark",,,,,1945,
"HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America","Peter Irvine; Claxton"," Remsen & Haffelfinger","Philadelphia"," PA",1871,"(Protestant) Episcopal Church"
"HRGC1892","The Hymnal: Revised and Enlarged as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892","William W. Rousseau; John Ireland Tucker","The Century Co.","New York"," NY",1894,"(Protestant) Episcopal Church"
"HTS2","Hymns of Ter Steegen and Others (Second Series)","Frances Bevan","James Nisbet & Co. Limited","London"," England",1899,
"LG","Lyra Germanica: The Christian Year",,"Christian Classics Ethereal Library","Grand Rapids"," MI",1861,
"LSB2006","Lutheran Service Book",,"Concordia Publishing House","Saint Louis"," MO",2006,"Lutheran Church - Missouri Synod"
"NCH1929","The New Christian Hymnal","Henry J. Kuiper","William B. Eerdmans Pub. Co.","Grand Rapids"," MI",1929,
"PWTNC","Praise and Worship (The Nazarene Hymnal)",,"Nazarene Publishing House","Kansas City"," MO",1951,"Church of the Nazarene"
"RL","Rejoice in the Lord",,"Wm. B. Eerdmans Publishing Co.","Grand Rapids","MI",1985,"Reformed Church in America"
"SHEG","Songs and Hymns of the Earliest Greek Christian Poets",,"Christian Classics Ethereal Library","Grand Rapids"," MI",1876,
"TH1961","Trinity Hymnal",,"Orthoodox Presbyterian Church","Philadelphia"," PA",1961,"Orthodox Presbyterian Church"
"TT","Timeless Truths",,"http://library.timelesstruths.org/music/",,,2002,
"TWC","Worshiping Church, The","Donald P. Hustad ","Hope Publishing Company","Carol Stream","IL",1990,
"WASH1957","Worship and Service Hymnal: For Church School and Home",,"Hope Publishing Company","Carol Stream"," IL",1957,
