"HymnalCode","HymnalName","Editor","Publisher","City","STate","Date","Denomination"
"BH2008","Baptist Hymnal 2008",,"LifeWay Worship","Nashville"," TN",2008,"Southern Baptist"
"WAR2003","Worship and Rejoice",,"Hope Publishing Company","Carol Stream"," IL",2001,
"CEL","Celebration Hymnal","Tom Fettke","Word Music/Integrity Music",,,1997,
"CH1995","Chalice Hymnal",,"Chalice Press","St. Louis","MO",1995,"Disciples of Christ"
"GATHER","Gather Comprehensive",,"GIA",,,1994,"Roman Catholic Church"
"BH1991","Baptist Hymnal 1991",,"Convention Press",,,1991,"Southern Baptist"
"PH","Presbyterian Hymnal",,"Presbyterian Church USA",,,1990,"Presbyterian Church (U.S.A.)"
"TWC","Worshiping Church","Donald P. Hustad","Hope Publishing Company",,,1990,
"SJ1989","Sing Joyfully","Jack Schrader","Tabernacle Pub. Co.","Carol Stream","IL",1989,
"UMH","United Methodist Hymnal",,"The United Methodist Publishing House",,,1989,"United Methodist Church"
"EH1982","Hymnal 1982: according to the use of the Episcopal Church",,"Church Hymnal Corp.","New York","NY",1985,"Episcopal"
"HHOF1980","Hymns of Faith",,"Tabernacle Publishing Company","Carol Stream","IL",1980,
"HFLC1974","Hymns for the Living Church","Don Hustad","Hope Publishing Company","Carol Stream","IL",1974,
"FHOP","Favorite Hymns of Praise",,"Hope Publishing Company","Wheaton"," IL",1967,
"WASH1957","Worship and Service Hymnal: For Church, School, and Home",,"Hope Publishing Company","Carol Stream","IL",1957,
"NCH1929","The New Christian Hymnal","Henry J. Kuiper","William B. Eerdmans Pub. Co.","Grand Rapids","MI",1929,
"EH1916","The Hymnal: as authorized and approved by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1916","Peter Irvine","Church Pension Fund","New York","NY",1916,"(Protestant) Episcopal Church"
"HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.","Rev. Louis F. Benson; William W. Gilchrist","Presbyterian Board of Publication and Sabbath School Work","Philadelphia","PA",1895,"Presbyterian Church in the USA. Northern Presbyter"
