"HymnalCode","HymnalName","Editor","Publisher","City","State","Year","Denomination"
"BH2008","Baptist Songs with Music","A. B. Cates; A. C. Caperton & Co.","A. C. Caperton & Co.","Louisville","KY",1879,"Southern Baptist Convention, 1845-"
"LSB2006","Lutheran Service Book",,"Concordia Publishing House","Saint Louis"," MO",2006,"Lutheran Church - Missouri Synod"
"WAR2003","Worship and Rejoice",,"Hope Publishing Company","Carol Stream","IL",2001,
"ELH","Evangelical Lutheran Hymnary",,"MorningStar Music Publishers, Inc.","St. Louis"," MO",1996,"Evangelical Lutheran Synod"
"VU1996","Voices United: The Hymn and Worship Book of The United Church of Canada","Leonard Lythgoe; Nancy E. Hardy; Stephen Benner","The United Church Publishing House","Etobicoke"," Ontario, Canada",1996,"The United Church of Canada"
"CH1995","Chalice Hymnal",,"Chalice Press","St. Louis","MO",1995,"Disciples of Christ"
"LEVS1993",,,,,,,
"BH1991","Baptist Hymnal 1991",,"Convention Press",,,1991,"Southern Baptist"
"PH","Presbyterian Hymnal",,"Presbyterian Church USA",,,1990,"Presbyterian Church (U.S.A.)"
"TH","Trinity Hymnal",,"Great Commission Publications",,,1990,"Orthodox Presbyterian Church; Presbyterian Church in America "
"TWC","Worshiping Church, The","Donald P. Hustad","Hope Publishing Company",,,1990,
"SJ1989","Sing Joyfully","Jack Schrader","Tabernacle Pub. Co.","Carol Stream","IL",1989,
"UMH","United Methodist Hymnal, The",,"The United Methodist Publishing House",,,1989,"United Methodist Church"
"PsH","Psalter Hymnal (Gray)","Emily Brink","CRC Publications","Grand Rapids"," MI",1987,"Christian Reformed Church"
"EH1982","Hymnal 1982: according to the use of the Episcopal Church",,"Church Hymnal Corp.","New York","NY",1985,"Episcopal"
"RL","Rejoice in the Lord",,"Wm. B. Eerdmans Publishing Co.",,,1985,"Reformed Church in America"
"HHOF1980","Hymns of Faith",,"Tabernacle Publishing Company","Carol Stream","IL",1980,
"HFLC1974","Hymns for the Living Church","Don Hustad","Hope Publishing Company","Carol Stream","IL",1974,
"FHOP","Favorite Hymns of Praise",,"Hope Publishing Company","Wheaton"," IL",1967,
"TH1961","Trinity Hymnal",,"Orthoodox Presbyterian Church","Philadelphia","PA",1961,"Orthodox Presbyterian Church"
"WASH1957","Worship and Service Hymnal: For Church, School, and Home",,"Hope Publishing Company","Carol Stream","IL",1957,
"PWTNC","Praise and Worship (The Nazarene Hymnal)",,"Nazarene Publishing House","Kansas City","MO",1951,"Church of the Nazarene"
"NCH1929","The New Christian Hymnal","Henry J. Kuiper; William B. Eerdmans Pub. Co.","William B. Eerdmans Pub. Co.","Grand Rapids","MI",1929,
"EH1916","The Hymnal: as authorized and approved by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1916","Peter Irvine","Church Pension Fund","New York","NY",1916,"(Protestant) Episcopal Church"
"HPEC1917","The Church Hymnal: revised and enlarged in accordance with the action of the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892. (Ed. B)","Peter Irvine; Rev. Charles L. Hutchins, D.D.","The Parish Choir","Boston","MA",1898,"(Protestant) Episcopal Church"
"HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.","Presbyterian Board of Publication and Sabbath School Work; Rev. Louis F. Benson; William W. Gilchrist, Mus. Doc","Presbyterian Board of Publication and Sabbath School Work","Philadelphia","PA",1895,"Presbyterian Church in the USA. Northern Presbyter"
"HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892","William W. Rousseau; John Ireland Tucker","The Century Co.","New York","NY",1894,"(Protestant) Episcopal Church"
"HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America","Peter Irvine; Claxton, Remsen & Haffelfinger","Claxton, Remsen & Haffelfinger","Philadelphia","PA",1871,"(Protestant) Episcopal Church"
